REMIND index;scenario variable;dataset name;dataset reference product;dataset unit;share
trans - fedie;FE|Transport|Freight|Road|Heavy|Truck(40t)|Liquids|Hydrogen;diesel, synthetic, burned in heavy duty vehicle;heat;megajoule;regional
trans - feelt;FE|Transport|Freight|Road|Light|Truck(0-3_5t)|Electricity;electricity, used in passenger car;electricity, low voltage;megajoule;regional
trans - fegat;FE|Transport|Freight|Road|Light|Truck(0-3_5t)|Gases|Biomass;biomethane, burned in heavy duty vehicle;heat;megajoule;regional
trans - fegat;FE|Transport|Freight|Road|Light|Truck(0-3_5t)|Gases|Fossil;compressed gas, burned in heavy duty vehicle;heat;megajoule;regional
trans - fegat;FE|Transport|Freight|Road|Light|Truck(0-3_5t)|Gases|Hydrogen;compressed gas, synthetic, burned in heavy duty vehicle;heat;megajoule;regional
trans - feh2t;FE|Transport|Freight|Road|Light|Truck(0-3_5t)|Hydrogen;hydrogen, used in a fuel cell in a heavy duty vehicle;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Road|Light|Truck(0-3_5t)|Liquids|Biomass;biodiesel, burned in passenger car;heat;megajoule;regional
trans - fepet;FE|Transport|Freight|Road|Light|Truck(0-3_5t)|Liquids|Fossil;petrol, burned in passenger car;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Road|Light|Truck(0-3_5t)|Liquids|Hydrogen;diesel, synthetic, burned in heavy duty vehicle;heat;megajoule;regional
trans - feelt;FE|Transport|Freight|Road|Light|Truck(7_5t)|Electricity;electricity, used in heavy-duty vehicle;electricity, low voltage;megajoule;regional
trans - fegat;FE|Transport|Freight|Road|Light|Truck(7_5t)|Gases|Biomass;biomethane, burned in heavy duty vehicle;heat;megajoule;regional
trans - fegat;FE|Transport|Freight|Road|Light|Truck(7_5t)|Gases|Fossil;compressed gas, burned in heavy duty vehicle;heat;megajoule;regional
trans - fegat;FE|Transport|Freight|Road|Light|Truck(7_5t)|Gases|Hydrogen;compressed gas, synthetic, burned in heavy duty vehicle;heat;megajoule;regional
trans - feh2t;FE|Transport|Freight|Road|Light|Truck(7_5t)|Hydrogen;hydrogen, used in a fuel cell in a heavy duty vehicle;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Road|Light|Truck(7_5t)|Liquids|Biomass;biodiesel, burned in heavy-duty vehicle;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Road|Light|Truck(7_5t)|Liquids|Fossil;diesel, burned in heavy-duty vehicle;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Road|Light|Truck(7_5t)|Liquids|Hydrogen;diesel, synthetic, burned in heavy duty vehicle;heat;megajoule;regional
trans - feh2t;FE|Transport|Pass|Domestic Aviation|Hydrogen;hydrogen, burned in aircraft;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Domestic Aviation|Liquids|Biomass;kerosene, from biomass, burned in aircraft;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Domestic Aviation|Liquids|Fossil;kerosene, burned in aircraft;heat;megajoule;regional
trans - fepet;FE|Transport|Pass|Domestic Aviation|Liquids|Hydrogen;kerosene, synthetic, burned in aircraft;heat;megajoule;regional
trans - feelt;FE|Transport|Pass|Rail|Electricity;electricity, used in passenger train;electricity, high voltage;megajoule;regional
trans - fedie;FE|Transport|Pass|Rail|Liquids|Biomass;biodiesel, burned in passenger train;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Rail|Liquids|Fossil;diesel, burned in passenger train;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Rail|Liquids|Hydrogen;diesel, synthetic, burned in passenger train;heat;megajoule;regional
trans - feelt;FE|Transport|Pass|Road|Bus|Electricity;electricity, used in single deck coach or urban bus;electricity, low voltage;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|Bus|Gases|Biomass;biomethane, burned in single deck coach or urban bus;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|Bus|Gases|Fossil;compressed gas, burned in single deck coach or urban bus;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|Bus|Gases|Hydrogen;compressed gas, synthetic, burned in single deck coach or urban bus;heat;megajoule;regional
trans - feh2t;FE|Transport|Pass|Road|Bus|Hydrogen;hydrogen, used in a fuel cell in a single deck coach or urban bus;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|Bus|Liquids|Biomass;biodiesel, burned in single deck coach or urban bus;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|Bus|Liquids|Fossil;diesel, burned in single deck coach or urban bus;heat;megajoule;regional
trans - fedie;FE|Transport|Pass|Road|Bus|Liquids|Hydrogen;diesel, synthetic, burned in single deck coach or urban bus;heat;megajoule;regional
trans - feelt;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car and SUV|Electricity;electricity, used in passenger car;electricity, low voltage;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car and SUV|Gases|Biomass;biomethane, burned in passenger car;heat;megajoule;regional
trans - fegat;FE|Transport|Pass|Road|LDV|Four Wheelers|Large|Large Car and SUV|Gases|Fossil;compressed gas, burned in passenger car;heat;megajoule;regional
